Name,Zach,Brexton,Kirby
abbey.jpg,1,1,1
aj.jpg,0,0,1
alexandraw.jpg,0,1,0
alexia.jpg,0,1,0
ali.jpg,0,1,1
alice.jpg,0,1,0
alisha.jpg,0,0,0
allie.jpg,0,0,1
allisonl.jpg,1,1,0
alyssa.jpg,0,0,0
amira.jpg,1,1,0
amy.jpg,0,0,0
andie.jpg,1,1,0
annaa.jpg,0,0,0
anne.jpg,0,0,0
annie.jpg,1,0,1
annika.jpg,0,0,1
arielle.jpg,0,0,0
audrey.jpg,0,0,1
barb.jpg,0,0,0
becca.jpg,0,0,0
beth.jpg,0,0,0
brynne.jpg,0,0,0
camillej.jpg,0,0,0
carlie.jpg,1,0,0
caroline.jpg,0,0,0
caroline1.jpg,0,0,0
cassie.jpg,0,0,0
catalinai.jpg,0,0,0
cessie.jpg,0,1,0
charlene.jpg,0,0,0
christina.jpg,0,0,0
claire.jpg,0,0,0
courtneyd.jpg,0,0,0
daphnet.jpg,0,0,0
elena.jpg,0,0,0
emily.jpg,1,0,0
erica.jpg,0,0,0
erika.jpg,0,1,1
evette.jpg,0,1,1
gabiw.jpg,0,0,0
gitaa.jpg,0,1,1
haley.jpg,1,0,0
halle.jpg,0,0,1
hannah.jpg,1,0,1
hannahs.jpg,1,0,0
helen.jpg,0,0,0
hikari.jpg,1,1,0
irene.jpg,0,1,0
jade.jpg,1,1,1
janice.jpg,0,0,0
jennifer.jpg,0,1,1
jiwon.jpg,0,0,0
julia.jpg,0,1,0
kate.jpg,0,0,0
katey.jpg,0,0,0
katherine.jpg,0,0,0
kathy.jpg,0,0,0
katya.jpg,0,0,0
kaylam.jpg,0,0,0
keri.jpg,0,0,1
lala.jpg,1,0,0
larat.jpg,0,0,0
laurah.jpg,0,1,0
liz.jpg,0,1,0
loren.jpg,1,0,1
luana.jpg,0,1,0
lydia.jpg,0,0,0
maddie.jpg,0,0,0
maria.jpg,0,1,0
mariette.jpg,1,0,1
marv.jpg,0,0,0
meredithn.jpg,1,1,0
nadia.jpg,1,0,1
naima.jpg,0,0,0
nani.jpg,1,1,0
natalie.jpg,0,0,0
nian.jpg,0,1,0
ollin.jpg,0,0,0
patricia.jpg,0,0,0
patty.jpg,0,0,0
person1.jpg,0,1,0
person2.jpg,0,1,0
person3.jpg,0,0,0
priscilla.jpg,0,0,0
sam.jpg,1,1,1
samantha.jpg,0,1,0
sarah.jpg,0,0,0
sarah1.jpg,1,1,1
sarah2.jpg,0,0,0
sarahc.jpg,0,0,0
saran.jpg,0,0,0
savannah.jpg,1,0,0
shaheen.jpg,0,1,1
simone.jpg,0,0,0
stephaniej.jpg,0,0,0
tay.jpg,0,1,0
val.jpg,0,1,0
willow.jpg,1,0,0
yasmin.jpg,0,1,1
zoek.jpg,0,0,0
